iter	Passed	Remaining
0	45	2706
1	104	3044
2	153	2923
3	204	2869
4	256	2820
5	319	2872
6	371	2816
7	418	2721
8	464	2630
9	506	2533
10	557	2484
11	609	2437
12	658	2380
13	714	2348
14	764	2292
15	816	2245
16	869	2199
17	924	2158
18	977	2108
19	1048	2096
20	1107	2057
21	1164	2010
22	1218	1960
23	1270	1905
24	1337	1872
25	1409	1843
26	1469	1795
27	1524	1742
28	1600	1710
29	1689	1689
30	1763	1650
31	1836	1606
32	1898	1553
33	1962	1500
34	2021	1444
35	2090	1393
36	2155	1339
37	2227	1289
38	2293	1234
39	2346	1173
40	2400	1112
41	2461	1054
42	2519	996
43	2579	938
44	2633	877
45	2699	821
46	2752	761
47	2815	703
48	2874	645
49	2932	586
50	2997	528
51	3057	470
52	3119	412
53	3175	352
54	3228	293
55	3281	234
56	3336	175
57	3387	116
58	3438	58
59	3490	0
